AgentId,BookingDate,PackageId,customerId,totalPrice,travellerCount,title,PkgStartDate_x,__v_x,_id,role,AgtFirstName,AgtMiddleInitial,AgtLastName,AgtBusPhone,AgtEmail,AgtPosition,AgencyId,password,username,AgentCommission,__v_y,PkgName,PkgStartDate_y,PkgEndDate,PkgDesc,PkgBasePrice,PkgAgencyCommission,destination,SupName,PkgImgSrc,__v
1,2021-08-06 02:24:10.912,2,1,3310,1,Polynesian Paradise,2005-12-12,0,1,agent,Janet,,Delton,(403) 210-7801,janet.delton@travelexperts.com,Senior Agent,1,,,31,0,Polynesian Paradise,2021-12-12,2021-12-20,"Enjoy an 8 Day All Inclusive Hawaiian Vacation. Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quis voluptate asperiores eum quos sed tempore impedit nisi a reiciendis, adipisci nam quibusdam ipsum delectus aliquam nihil. Labore porro est nam!",3000,300,Honolulu,AVILA TOURS INC.,https://images.unsplash.com/photo-1541320729316-d1b75cf6e2e6?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1782&q=80,
1,2021-08-06 02:24:10.912,2,1,3310,1,Polynesian Paradise,2005-12-12,0,1,agent,Janet,,Delton,(403) 210-7801,janet.delton@travelexperts.com,Senior Agent,1,,,48,0,Polynesian Paradise,2021-12-12,2021-12-20,"Enjoy an 8 Day All Inclusive Hawaiian Vacation. Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quis voluptate asperiores eum quos sed tempore impedit nisi a reiciendis, adipisci nam quibusdam ipsum delectus aliquam nihil. Labore porro est nam!",3000,300,Honolulu,AVILA TOURS INC.,https://images.unsplash.com/photo-1541320729316-d1b75cf6e2e6?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1782&q=80,
1,2021-08-06 02:24:10.912,2,1,3310,1,Polynesian Paradise,2005-12-12,0,1,agent,Janet,,Delton,(403) 210-7801,janet.delton@travelexperts.com,Senior Agent,1,,,48,0,Polynesian Paradise,2021-12-12,2021-12-20,"Enjoy an 8 Day All Inclusive Hawaiian Vacation. Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quis voluptate asperiores eum quos sed tempore impedit nisi a reiciendis, adipisci nam quibusdam ipsum delectus aliquam nihil. Labore porro est nam!",3000,300,Honolulu,AVILA TOURS INC.,https://images.unsplash.com/photo-1541320729316-d1b75cf6e2e6?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1782&q=80,
1,2021-08-06 02:24:10.912,2,1,3310,1,Polynesian Paradise,2005-12-12,0,1,agent,Janet,,Delton,(403) 210-7801,janet.delton@travelexperts.com,Senior Agent,1,,,48,0,Polynesian Paradise,2021-12-12,2021-12-20,"Enjoy an 8 Day All Inclusive Hawaiian Vacation. Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quis voluptate asperiores eum quos sed tempore impedit nisi a reiciendis, adipisci nam quibusdam ipsum delectus aliquam nihil. Labore porro est nam!",3000,300,Honolulu,AVILA TOURS INC.,https://images.unsplash.com/photo-1541320729316-d1b75cf6e2e6?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1782&q=80,
1,2021-08-06 02:24:10.912,2,1,3310,1,Polynesian Paradise,2005-12-12,0,1,agent,Janet,,Delton,(403) 210-7801,janet.delton@travelexperts.com,Senior Agent,1,,,48,0,Polynesian Paradise,2021-12-12,2021-12-20,"Enjoy an 8 Day All Inclusive Hawaiian Vacation. Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quis voluptate asperiores eum quos sed tempore impedit nisi a reiciendis, adipisci nam quibusdam ipsum delectus aliquam nihil. Labore porro est nam!",3000,300,Honolulu,AVILA TOURS INC.,https://images.unsplash.com/photo-1541320729316-d1b75cf6e2e6?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1782&q=80,
1,2021-08-06 02:24:10.912,2,1,3310,1,Polynesian Paradise,2005-12-12,0,1,agent,Janet,,Delton,(403) 210-7801,janet.delton@travelexperts.com,Senior Agent,1,,,30,0,Polynesian Paradise,2021-12-12,2021-12-20,"Enjoy an 8 Day All Inclusive Hawaiian Vacation. Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quis voluptate asperiores eum quos sed tempore impedit nisi a reiciendis, adipisci nam quibusdam ipsum delectus aliquam nihil. Labore porro est nam!",3000,300,Honolulu,AVILA TOURS INC.,https://images.unsplash.com/photo-1541320729316-d1b75cf6e2e6?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1782&q=80,
1,2021-08-06 02:24:10.912,2,1,3310,1,Polynesian Paradise,2005-12-12,0,1,agent,Janet,,Delton,(403) 210-7801,janet.delton@travelexperts.com,Senior Agent,1,,,32,0,Polynesian Paradise,2021-12-12,2021-12-20,"Enjoy an 8 Day All Inclusive Hawaiian Vacation. Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quis voluptate asperiores eum quos sed tempore impedit nisi a reiciendis, adipisci nam quibusdam ipsum delectus aliquam nihil. Labore porro est nam!",3000,300,Honolulu,AVILA TOURS INC.,https://images.unsplash.com/photo-1541320729316-d1b75cf6e2e6?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1782&q=80,
1,2021-08-06 02:24:10.912,2,1,3310,1,Polynesian Paradise,2005-12-12,0,1,agent,Janet,,Delton,(403) 210-7801,janet.delton@travelexperts.com,Senior Agent,1,,,45,0,Polynesian Paradise,2021-12-12,2021-12-20,"Enjoy an 8 Day All Inclusive Hawaiian Vacation. Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quis voluptate asperiores eum quos sed tempore impedit nisi a reiciendis, adipisci nam quibusdam ipsum delectus aliquam nihil. Labore porro est nam!",3000,300,Honolulu,AVILA TOURS INC.,https://images.unsplash.com/photo-1541320729316-d1b75cf6e2e6?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1782&q=80,
1,2021-08-06 02:24:10.912,2,1,3310,1,Polynesian Paradise,2005-12-12,0,1,agent,Janet,,Delton,(403) 210-7801,janet.delton@travelexperts.com,Senior Agent,1,,,28,0,Polynesian Paradise,2021-12-12,2021-12-20,"Enjoy an 8 Day All Inclusive Hawaiian Vacation. Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quis voluptate asperiores eum quos sed tempore impedit nisi a reiciendis, adipisci nam quibusdam ipsum delectus aliquam nihil. Labore porro est nam!",3000,300,Honolulu,AVILA TOURS INC.,https://images.unsplash.com/photo-1541320729316-d1b75cf6e2e6?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1782&q=80,
1,2021-08-09 00:49:33.775,2,1255,15300,5,Polynesian Paradise,2021-12-12,0,1,agent,Janet,,Delton,(403) 210-7801,janet.delton@travelexperts.com,Senior Agent,1,,,31,0,Polynesian Paradise,2021-12-12,2021-12-20,"Enjoy an 8 Day All Inclusive Hawaiian Vacation. Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quis voluptate asperiores eum quos sed tempore impedit nisi a reiciendis, adipisci nam quibusdam ipsum delectus aliquam nihil. Labore porro est nam!",3000,300,Honolulu,AVILA TOURS INC.,https://images.unsplash.com/photo-1541320729316-d1b75cf6e2e6?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1782&q=80,
